2025-11-10 13:02:16.875 | INFO     | __main__:<module>:314 - 程序结束。
2025-11-10 13:02:17.320 | INFO     | __main__:process_images:112 - Playwright chromium 安装成功
2025-11-10 13:02:17.320 | INFO     | __main__:process_images:130 - 最近3天日期: ['20251110', '20251109', '20251108']
2025-11-10 13:02:17.320 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images, 包含最近日期: False
2025-11-10 13:02:17.320 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110, 包含最近日期: True
2025-11-10 13:02:17.320 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110
2025-11-10 13:02:17.365 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358, 包含最近日期: True
2025-11-10 13:02:17.365 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358
2025-11-10 13:02:17.365 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 13:02:17.365 | WARNING  | __main__:process_images:186 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 13:02:17.365 | INFO     | __main__:process_images:208 - 处理图片: data_overview#zsiga_嘎子姐美美穿搭.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 13:02:17.444 | INFO     | __main__:process_images:250 - 正在处理: data_overview#zsiga_嘎子姐美美穿搭.png
2025-11-10 13:02:20.388 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 13:02:20.389 | WARNING  | __main__:process_images:186 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 13:02:20.389 | INFO     | __main__:process_images:208 - 处理图片: data_overview#Zsiga今天是_小公主嘎.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 13:02:20.472 | INFO     | __main__:process_images:250 - 正在处理: data_overview#Zsiga今天是_小公主嘎.png
2025-11-10 13:02:23.285 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 13:02:23.286 | WARNING  | __main__:process_images:186 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 13:02:23.286 | INFO     | __main__:process_images:208 - 处理图片: data_overview#Zsiga嘎子姐入手后一发不可收拾.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 13:02:23.354 | INFO     | __main__:process_images:250 - 正在处理: data_overview#Zsiga嘎子姐入手后一发不可收拾.png
