2025-11-07 14:06:56.373 | INFO     | __main__:process_images:112 - Playwright chromium 安装成功
2025-11-07 14:06:56.374 | INFO     | __main__:process_images:119 - 初始化OCR成功，进程号为25940
2025-11-07 14:06:56.374 | INFO     | __main__:process_images:130 - 最近3天日期: ['20251107', '20251106', '20251105']
2025-11-07 14:06:56.374 | INFO     | __main__:process_images:131 - 开始扫描ocr目录：D:\PycharmProjects\XHS-OCR\images
2025-11-07 14:06:56.374 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images, 包含最近日期: False
2025-11-07 14:06:56.374 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251107, 包含最近日期: True
2025-11-07 14:06:56.382 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251107
2025-11-07 14:06:56.382 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555, 包含最近日期: True
2025-11-07 14:06:56.382 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555
2025-11-07 14:06:56.382 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\咦她怎么长得跟我一样.png.json
2025-11-07 14:06:56.383 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\咦她怎么长得跟我一样.png.json
2025-11-07 14:06:56.383 | INFO     | __main__:process_images:207 - 处理图片: data_overview#咦她怎么长得跟我一样.png, 日期: 20251107, 设备: 172.25.1.78-5555
2025-11-07 14:06:56.508 | INFO     | __main__:process_images:248 - 正在处理: data_overview#咦她怎么长得跟我一样.png
2025-11-07 14:06:56.508 | ERROR    | __main__:process_images:253 - 识别失败: data_overview#咦她怎么长得跟我一样.png，可能数据是空的
2025-11-07 14:06:56.508 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\小香风女孩报道.png.json
2025-11-07 14:06:56.508 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\小香风女孩报道.png.json
2025-11-07 14:06:56.508 | INFO     | __main__:process_images:207 - 处理图片: data_overview#小香风女孩报道.png, 日期: 20251107, 设备: 172.25.1.78-5555
2025-11-07 14:06:56.610 | INFO     | __main__:process_images:248 - 正在处理: data_overview#小香风女孩报道.png
2025-11-07 14:06:56.610 | ERROR    | __main__:process_images:253 - 识别失败: data_overview#小香风女孩报道.png，可能数据是空的
2025-11-07 14:06:56.610 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\朋友_别买了_你家里都快没地儿了.png.json
2025-11-07 14:06:56.610 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.78-5555\朋友_别买了_你家里都快没地儿了.png.json
2025-11-07 14:06:56.610 | INFO     | __main__:process_images:207 - 处理图片: data_overview#朋友_别买了_你家里都快没地儿了.png, 日期: 20251107, 设备: 172.25.1.78-5555
2025-11-07 14:06:56.714 | INFO     | __main__:process_images:248 - 正在处理: data_overview#朋友_别买了_你家里都快没地儿了.png
2025-11-07 14:06:56.714 | ERROR    | __main__:process_images:253 - 识别失败: data_overview#朋友_别买了_你家里都快没地儿了.png，可能数据是空的
