2025-11-10 16:36:44.919 | INFO     | __main__:<module>:329 - 程序结束。
2025-11-10 16:36:45.534 | INFO     | __main__:process_images:118 - Playwright chromium 安装成功
2025-11-10 16:36:45.534 | INFO     | __main__:process_images:126 - 初始化OCR成功，进程号为23764
2025-11-10 16:36:45.534 | INFO     | __main__:process_images:137 - 最近3天日期: ['20251110', '20251109', '20251108']
2025-11-10 16:36:45.534 | INFO     | __main__:process_images:149 - 扫描目录: D:\PycharmProjects\XHS-OCR\images, 包含最近日期: False
2025-11-10 16:36:45.534 | INFO     | __main__:process_images:149 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110, 包含最近日期: True
2025-11-10 16:36:45.544 | INFO     | __main__:process_images:160 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110
2025-11-10 16:36:45.544 | INFO     | __main__:process_images:149 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358, 包含最近日期: True
2025-11-10 16:36:45.545 | INFO     | __main__:process_images:160 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358
2025-11-10 16:36:45.545 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 16:36:45.545 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 16:36:45.545 | INFO     | __main__:process_images:215 - 处理图片: data_overview#zsiga_嘎子姐美美穿搭.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:45.627 | INFO     | __main__:process_images:256 - 正在处理: data_overview#zsiga_嘎子姐美美穿搭.png
2025-11-10 16:36:45.838 | WARNING  | __main__:process_images:304 - 识别到的数据个数不匹配，可能是截图位置发生变化或者截图不完整，可能需要重新制作蒙版
2025-11-10 16:36:45.838 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 16:36:45.838 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 16:36:45.838 | INFO     | __main__:process_images:215 - 处理图片: data_overview#Zsiga今天是_小公主嘎.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:45.939 | INFO     | __main__:process_images:256 - 正在处理: data_overview#Zsiga今天是_小公主嘎.png
2025-11-10 16:36:46.119 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 16:36:46.119 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 16:36:46.119 | INFO     | __main__:process_images:215 - 处理图片: data_overview#Zsiga嘎子姐入手后一发不可收拾.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:46.203 | INFO     | __main__:process_images:256 - 正在处理: data_overview#Zsiga嘎子姐入手后一发不可收拾.png
2025-11-10 16:36:46.356 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\假期结束_带上dimoo返程啦.json
2025-11-10 16:36:46.356 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\假期结束_带上dimoo返程啦.json
2025-11-10 16:36:46.356 | INFO     | __main__:process_images:215 - 处理图片: data_overview#假期结束_带上dimoo返程啦.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:46.445 | INFO     | __main__:process_images:256 - 正在处理: data_overview#假期结束_带上dimoo返程啦.png
2025-11-10 16:36:46.608 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\咦她怎么长得跟我一样.json
2025-11-10 16:36:46.609 | INFO     | __main__:process_images:215 - 处理图片: data_overview#咦她怎么长得跟我一样.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:46.696 | INFO     | __main__:process_images:256 - 正在处理: data_overview#咦她怎么长得跟我一样.png
2025-11-10 16:36:46.934 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐今日ootd.json
2025-11-10 16:36:46.934 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐今日ootd.json
2025-11-10 16:36:46.934 | INFO     | __main__:process_images:215 - 处理图片: data_overview#嘎子姐今日ootd.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:47.017 | INFO     | __main__:process_images:256 - 正在处理: data_overview#嘎子姐今日ootd.png
2025-11-10 16:36:47.204 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐姐今天ootd.json
2025-11-10 16:36:47.205 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐姐今天ootd.json
2025-11-10 16:36:47.205 | INFO     | __main__:process_images:215 - 处理图片: data_overview#嘎子姐姐今天ootd.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:36:47.292 | INFO     | __main__:process_images:256 - 正在处理: data_overview#嘎子姐姐今天ootd.png
2025-11-10 16:36:47.506 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\如果今天星期八_DIY门牌.json
2025-11-10 16:36:47.506 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\如果今天星期八_DIY门牌.json
