2025-11-07 15:00:37.377 | INFO     | __main__:process_images:116 - Playwright chromium 安装成功
2025-11-07 15:00:37.377 | INFO     | __main__:process_images:123 - 初始化OCR成功，进程号为25408
2025-11-07 15:00:37.377 | INFO     | __main__:process_images:134 - 最近3天日期: ['20251107', '20251106', '20251105']
2025-11-07 15:00:37.377 | INFO     | __main__:process_images:135 - 开始扫描ocr目录：D:\PycharmProjects\XHS-OCR\images
2025-11-07 15:00:37.377 | INFO     | __main__:process_images:146 - 扫描目录: D:\PycharmProjects\XHS-OCR\images, 包含最近日期: False
2025-11-07 15:00:37.377 | INFO     | __main__:process_images:146 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251107, 包含最近日期: True
2025-11-07 15:00:37.385 | INFO     | __main__:process_images:157 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251107
2025-11-07 15:00:37.386 | INFO     | __main__:process_images:146 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.41#1944609540455948358, 包含最近日期: True
2025-11-07 15:00:37.386 | INFO     | __main__:process_images:157 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.41#1944609540455948358
2025-11-07 15:00:37.386 | INFO     | __main__:process_images:178 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.41#1944609540455948358\咦她怎么长得跟我一样.json
2025-11-07 15:00:37.386 | INFO     | __main__:process_images:211 - 处理图片: data_overview#咦她怎么长得跟我一样.png, 日期: 20251107, 设备: 172.25.1.41
2025-11-07 15:00:37.492 | INFO     | __main__:process_images:252 - 正在处理: data_overview#咦她怎么长得跟我一样.png
2025-11-07 15:00:37.492 | INFO     | __main__:process_images:257 - 识别结果: {'code': 901, 'data': '引擎实例不存在。'}
2025-11-07 15:00:37.492 | ERROR    | __main__:process_images:258 - 识别失败: data_overview#咦她怎么长得跟我一样.png
2025-11-07 15:00:37.492 | INFO     | __main__:process_images:178 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.41#1944609540455948358\小香风女孩报道.json
2025-11-07 15:00:37.492 | INFO     | __main__:process_images:211 - 处理图片: data_overview#小香风女孩报道.png, 日期: 20251107, 设备: 172.25.1.41
2025-11-07 15:00:37.570 | INFO     | __main__:process_images:252 - 正在处理: data_overview#小香风女孩报道.png
2025-11-07 15:00:37.570 | INFO     | __main__:process_images:257 - 识别结果: {'code': 901, 'data': '引擎实例不存在。'}
2025-11-07 15:00:37.570 | ERROR    | __main__:process_images:258 - 识别失败: data_overview#小香风女孩报道.png
2025-11-07 15:00:37.570 | INFO     | __main__:process_images:178 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251107\172.25.1.41#1944609540455948358\朋友_别买了_你家里都快没地儿了.json
