2025-11-10 11:42:00.208 | INFO     | __main__:process_images:112 - Playwright chromium 安装成功
2025-11-10 11:42:00.208 | INFO     | __main__:process_images:119 - 初始化OCR成功，进程号为33400
2025-11-10 11:42:00.208 | INFO     | __main__:process_images:130 - 最近3天日期: ['20251110', '20251109', '20251108']
2025-11-10 11:42:00.208 | INFO     | __main__:process_images:131 - 开始扫描ocr目录：D:\PycharmProjects\XHS-OCR\images
2025-11-10 11:42:00.208 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images, 包含最近日期: False
2025-11-10 11:42:00.208 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110, 包含最近日期: True
2025-11-10 11:42:00.209 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110
2025-11-10 11:42:00.209 | INFO     | __main__:process_images:142 - 扫描目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358, 包含最近日期: True
2025-11-10 11:42:00.209 | INFO     | __main__:process_images:153 - 处理最近3天的目录: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358
2025-11-10 11:42:00.209 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 11:42:00.209 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\zsiga_嘎子姐美美穿搭.json
2025-11-10 11:42:00.209 | INFO     | __main__:process_images:207 - 处理图片: data_overview#zsiga_嘎子姐美美穿搭.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.289 | INFO     | __main__:process_images:249 - 正在处理: data_overview#zsiga_嘎子姐美美穿搭.png
2025-11-10 11:42:00.290 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:00.290 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#zsiga_嘎子姐美美穿搭.png
2025-11-10 11:42:00.290 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 11:42:00.290 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga今天是_小公主嘎.json
2025-11-10 11:42:00.290 | INFO     | __main__:process_images:207 - 处理图片: data_overview#Zsiga今天是_小公主嘎.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.365 | INFO     | __main__:process_images:249 - 正在处理: data_overview#Zsiga今天是_小公主嘎.png
2025-11-10 11:42:00.366 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:00.366 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#Zsiga今天是_小公主嘎.png
2025-11-10 11:42:00.366 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 11:42:00.366 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\Zsiga嘎子姐入手后一发不可收拾.json
2025-11-10 11:42:00.366 | INFO     | __main__:process_images:207 - 处理图片: data_overview#Zsiga嘎子姐入手后一发不可收拾.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.442 | INFO     | __main__:process_images:249 - 正在处理: data_overview#Zsiga嘎子姐入手后一发不可收拾.png
2025-11-10 11:42:00.442 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:10.png"'}
2025-11-10 11:42:00.442 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#Zsiga嘎子姐入手后一发不可收拾.png
2025-11-10 11:42:00.442 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\假期结束_带上dimoo返程啦.json
2025-11-10 11:42:00.442 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\假期结束_带上dimoo返程啦.json
2025-11-10 11:42:00.442 | INFO     | __main__:process_images:207 - 处理图片: data_overview#假期结束_带上dimoo返程啦.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.515 | INFO     | __main__:process_images:249 - 正在处理: data_overview#假期结束_带上dimoo返程啦.png
2025-11-10 11:42:00.515 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:10.png"'}
2025-11-10 11:42:00.516 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#假期结束_带上dimoo返程啦.png
2025-11-10 11:42:00.516 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\咦她怎么长得跟我一样.json
2025-11-10 11:42:00.516 | INFO     | __main__:process_images:207 - 处理图片: data_overview#咦她怎么长得跟我一样.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.584 | INFO     | __main__:process_images:249 - 正在处理: data_overview#咦她怎么长得跟我一样.png
2025-11-10 11:42:00.584 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-07 13:57:10.png"'}
2025-11-10 11:42:00.584 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#咦她怎么长得跟我一样.png
2025-11-10 11:42:00.584 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐今日ootd.json
2025-11-10 11:42:00.584 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐今日ootd.json
2025-11-10 11:42:00.584 | INFO     | __main__:process_images:207 - 处理图片: data_overview#嘎子姐今日ootd.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.659 | INFO     | __main__:process_images:249 - 正在处理: data_overview#嘎子姐今日ootd.png
2025-11-10 11:42:00.660 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:00.660 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#嘎子姐今日ootd.png
2025-11-10 11:42:00.660 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐姐今天ootd.json
2025-11-10 11:42:00.660 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\嘎子姐姐今天ootd.json
2025-11-10 11:42:00.660 | INFO     | __main__:process_images:207 - 处理图片: data_overview#嘎子姐姐今天ootd.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.729 | INFO     | __main__:process_images:249 - 正在处理: data_overview#嘎子姐姐今天ootd.png
2025-11-10 11:42:00.729 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:00.730 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#嘎子姐姐今天ootd.png
2025-11-10 11:42:00.730 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\如果今天星期八_DIY门牌.json
2025-11-10 11:42:00.730 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\如果今天星期八_DIY门牌.json
2025-11-10 11:42:00.730 | INFO     | __main__:process_images:207 - 处理图片: data_overview#如果今天星期八_DIY门牌.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.806 | INFO     | __main__:process_images:249 - 正在处理: data_overview#如果今天星期八_DIY门牌.png
2025-11-10 11:42:00.807 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:00.807 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#如果今天星期八_DIY门牌.png
2025-11-10 11:42:00.807 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\小香风女孩报道.json
2025-11-10 11:42:00.807 | INFO     | __main__:process_images:207 - 处理图片: data_overview#小香风女孩报道.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.883 | INFO     | __main__:process_images:249 - 正在处理: data_overview#小香风女孩报道.png
2025-11-10 11:42:00.883 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-07 13:57:10.png"'}
2025-11-10 11:42:00.883 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#小香风女孩报道.png
2025-11-10 11:42:00.883 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我和我的咖啡搭伙人.json
2025-11-10 11:42:00.883 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我和我的咖啡搭伙人.json
2025-11-10 11:42:00.884 | INFO     | __main__:process_images:207 - 处理图片: data_overview#我和我的咖啡搭伙人.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:00.957 | INFO     | __main__:process_images:249 - 正在处理: data_overview#我和我的咖啡搭伙人.png
2025-11-10 11:42:00.957 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:10.png"'}
2025-11-10 11:42:00.957 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#我和我的咖啡搭伙人.png
2025-11-10 11:42:00.958 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我的小甜心_zsiga嘎子姐.json
2025-11-10 11:42:00.958 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我的小甜心_zsiga嘎子姐.json
2025-11-10 11:42:00.958 | INFO     | __main__:process_images:207 - 处理图片: data_overview#我的小甜心_zsiga嘎子姐.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.022 | INFO     | __main__:process_images:249 - 正在处理: data_overview#我的小甜心_zsiga嘎子姐.png
2025-11-10 11:42:01.022 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:01.022 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#我的小甜心_zsiga嘎子姐.png
2025-11-10 11:42:01.022 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\朋友_别买了_你家里都快没地儿了.json
2025-11-10 11:42:01.023 | INFO     | __main__:process_images:207 - 处理图片: data_overview#朋友_别买了_你家里都快没地儿了.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.094 | INFO     | __main__:process_images:249 - 正在处理: data_overview#朋友_别买了_你家里都快没地儿了.png
2025-11-10 11:42:01.094 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-07 13:57:10.png"'}
2025-11-10 11:42:01.094 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#朋友_别买了_你家里都快没地儿了.png
2025-11-10 11:42:01.094 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\求推荐好看的泡泡玛特手机壳.json
2025-11-10 11:42:01.095 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\求推荐好看的泡泡玛特手机壳.json
2025-11-10 11:42:01.095 | INFO     | __main__:process_images:207 - 处理图片: data_overview#求推荐好看的泡泡玛特手机壳.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.170 | INFO     | __main__:process_images:249 - 正在处理: data_overview#求推荐好看的泡泡玛特手机壳.png
2025-11-10 11:42:01.171 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:01.171 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#求推荐好看的泡泡玛特手机壳.png
2025-11-10 11:42:01.171 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\求问_孩子太有个性了咋带出门.json
2025-11-10 11:42:01.171 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\求问_孩子太有个性了咋带出门.json
2025-11-10 11:42:01.171 | INFO     | __main__:process_images:207 - 处理图片: data_overview#求问_孩子太有个性了咋带出门.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.236 | INFO     | __main__:process_images:249 - 正在处理: data_overview#求问_孩子太有个性了咋带出门.png
2025-11-10 11:42:01.236 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:01.236 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#求问_孩子太有个性了咋带出门.png
2025-11-10 11:42:01.236 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\潮玩_成年人最贵的_电子宠物.json
2025-11-10 11:42:01.236 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\潮玩_成年人最贵的_电子宠物.json
2025-11-10 11:42:01.236 | INFO     | __main__:process_images:207 - 处理图片: data_overview#潮玩_成年人最贵的_电子宠物.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.310 | INFO     | __main__:process_images:249 - 正在处理: data_overview#潮玩_成年人最贵的_电子宠物.png
2025-11-10 11:42:01.310 | INFO     | __main__:process_images:254 - 识别结果: {'code': 200, 'data': 'Image path dose not exist. Path: "D:\\\\PycharmProjects\\\\XHS-OCR\\\\tmp\\\\2025-11-10 11:30:09.png"'}
2025-11-10 11:42:01.310 | ERROR    | __main__:process_images:255 - 识别失败: data_overview#潮玩_成年人最贵的_电子宠物.png
2025-11-10 11:42:01.310 | INFO     | __main__:process_images:174 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\看我社会拽姐.json
2025-11-10 11:42:01.310 | WARNING  | __main__:process_images:185 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\看我社会拽姐.json
2025-11-10 11:42:01.310 | INFO     | __main__:process_images:207 - 处理图片: data_overview#看我社会拽姐.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 11:42:01.379 | INFO     | __main__:process_images:249 - 正在处理: data_overview#看我社会拽姐.png
