2025-11-10 16:33:25.801 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\小香风女孩报道.json
2025-11-10 16:33:25.801 | INFO     | __main__:process_images:215 - 处理图片: data_overview#小香风女孩报道.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:33:25.871 | INFO     | __main__:process_images:256 - 正在处理: data_overview#小香风女孩报道.png
2025-11-10 16:33:29.201 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我和我的咖啡搭伙人.json
2025-11-10 16:33:29.202 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我和我的咖啡搭伙人.json
2025-11-10 16:33:29.202 | INFO     | __main__:process_images:215 - 处理图片: data_overview#我和我的咖啡搭伙人.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:33:29.271 | INFO     | __main__:process_images:256 - 正在处理: data_overview#我和我的咖啡搭伙人.png
2025-11-10 16:33:32.376 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我的小甜心_zsiga嘎子姐.json
2025-11-10 16:33:32.376 | WARNING  | __main__:process_images:193 - JSON文件不存在: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\我的小甜心_zsiga嘎子姐.json
2025-11-10 16:33:32.376 | INFO     | __main__:process_images:215 - 处理图片: data_overview#我的小甜心_zsiga嘎子姐.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:33:32.445 | INFO     | __main__:process_images:256 - 正在处理: data_overview#我的小甜心_zsiga嘎子姐.png
2025-11-10 16:33:35.528 | INFO     | __main__:process_images:181 - 处理文件: D:\PycharmProjects\XHS-OCR\images\20251110\172.25.1.41#1944609540455948358\朋友_别买了_你家里都快没地儿了.json
2025-11-10 16:33:35.528 | INFO     | __main__:process_images:215 - 处理图片: data_overview#朋友_别买了_你家里都快没地儿了.png, 日期: 20251110, 设备: 172.25.1.41
2025-11-10 16:33:35.599 | INFO     | __main__:process_images:256 - 正在处理: data_overview#朋友_别买了_你家里都快没地儿了.png
