2025-11-13 14:25:44.212 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:25:44.213 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_merged_data_ocr', 's_xhs_data_overview_traffic_analysis']
2025-11-13 14:25:44.213 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_top_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.213 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '曝光数', '观看数', '封面点击率', '平均观看时长', '完播率', '2秒退出率', '涨粉数']
2025-11-13 14:25:44.214 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_video_data_overview_top_ocr 查询到 1 行数据
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:121 - 表 s_xhs_video_data_overview_top_ocr 前3行数据示例: [(2, '1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', '20251112', '视频', '279', '59', '10.4%', '5.2', '16.3%', '49%', '0')]
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_bottom_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '点赞数', '评论数', '收藏数', '分享数', '弹幕数']
2025-11-13 14:25:44.214 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_video_data_overview_bottom_ocr 查询到 1 行数据
2025-11-13 14:25:44.214 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:121 - 表 s_xhs_video_data_overview_bottom_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', '20251112', '视频', '3', '0', '1', '0', '0')]
2025-11-13 14:25:44.214 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 开始进行 related 类型的数据融合，关联键: 账号ID, 设备IP, 采集日期, 链接
2025-11-13 14:25:44.214 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:135 - 融合后的表结构包含 19 列: ['封面点击率', '收藏数', '链接', '分享数', '2秒退出率', '设备IP', '数据来源', '涨粉数', '完播率', '内容类型', '弹幕数', '账号ID', '作品标题', '点赞数', '观看数', '评论数', '采集日期', '平均观看时长', '曝光数']
2025-11-13 14:25:44.217 | INFO     | db.merge_sync:merge_table_data_related:236 - 关联融合完成，共关联 1 个项目（具有来自多个表的数据）
2025-11-13 14:25:44.217 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:139 - 使用关联融合方式处理数据，融合后共有 1 行数据
2025-11-13 14:25:44.217 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:146 - 融合后前3行数据示例: [['10.4%', '1', 'http://xhslink.com/o/9lIlKBscMet', '0', '49%', '172.25.1.41', '1894230222988058625', '0', '16.3%', '视频', '0', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', '3', '59', '0', '20251112', '5.2', '279']]
2025-11-13 14:25:44.217 | DEBUG    | db.merge_sync:sync_to_local_sqlite:358 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:368 - 表 s_xhs_video_data_overview_ocr 是否存在: True
2025-11-13 14:25:44.218 | INFO     | db.merge_sync:sync_to_local_sqlite:376 - 表 s_xhs_video_data_overview_ocr 已存在，检查是否需要新增字段...
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:400 - 使用唯一键约束字段: "账号ID", "设备IP", "采集日期", "链接"
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:413 - SQLite插入SQL:

                        INSERT OR IGNORE INTO s_xhs_video_data_overview_ocr ("封面点击率", "收藏数", "链接", "分享数", "2秒退出率", "设备IP", "数据来源", "涨粉数", "完播率", "内容类型", "弹幕数", "账号ID", "作品标题", "点赞数", "观看数", "评论数", "采集日期", "平均观看时长", "曝光数")
                        VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                    
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:420 - 准备插入 1 行数据
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:424 - SQL语句影响的行数: 0
2025-11-13 14:25:44.218 | INFO     | db.merge_sync:sync_to_local_sqlite:428 - 成功同步 1 条记录到本地SQLite数据库，表名: s_xhs_video_data_overview_ocr
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:433 - 验证: 表 s_xhs_video_data_overview_ocr 中现有 1 行数据
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_to_local_sqlite:439 - 表 s_xhs_video_data_overview_ocr 数据示例: [('20251112', '10.4%', '0', 'http://xhslink.com/o/9lIlKBscMet', '1894230222988058625', '这个嘎子姐的星星卡点太美萌了', '279', '5.2', '视频', '59', 1, '0', '172.25.1.41', '1', '16.3%', '49%', '3', '0', '0', '1944609540455948358')]
2025-11-13 14:25:44.218 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:170 - 融合数据已保存到本地SQLite数据库，表名: s_xhs_video_data_overview_ocr，融合类型: related
2025-11-13 14:25:44.218 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_merged_data_ocr', 's_xhs_data_overview_traffic_analysis']
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_note_data_overview_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 2
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '曝光数', '观看数', '封面点击率', '平均观看时长', '涨粉数', '点赞数', '评论数', '收藏数', '分享数']
2025-11-13 14:25:44.219 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_note_data_overview_ocr 查询到 2 行数据
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:121 - 表 s_xhs_note_data_overview_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '嘎子姐换脚教程来啦', 'http://xhslink.com/o/8sOLOcSMMhF', '20251112', '图文', '1543', '314', '19.3%', '15.6', '0', '4', '2', '0', '0'), (2, '1894230222988058625', '172.25.1.41', '1944609540455948358', '嘎子姐的改装脚测评', 'http://xhslink.com/o/2szuAHmkUXy', '20251112', '图文', '3631', '723', '19.9%', '24.1', '0', '11', '9', '4', '2')]
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:25:44.219 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['采集日期', '封面点击率', '评论数', '链接', '数据来源', '作品标题', '曝光数', '平均观看时长', '内容类型', '观看数', '数据ID', '分享数', '设备IP', '收藏数', '完播率', '2秒退出率', '点赞数', '弹幕数', '涨粉数', '账号ID']
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_video_data_overview_ocr 查询到 1 行数据
2025-11-13 14:25:44.220 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:121 - 表 s_xhs_video_data_overview_ocr 前3行数据示例: [('20251112', '10.4%', '0', 'http://xhslink.com/o/9lIlKBscMet', '1894230222988058625', '这个嘎子姐的星星卡点太美萌了', '279', '5.2', '视频', '59', 1, '0', '172.25.1.41', '1', '16.3%', '49%', '3', '0', '0', '1944609540455948358')]
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 开始进行 unrelated 类型的数据融合，关联键: 无
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:135 - 融合后的表结构包含 19 列: ['封面点击率', '收藏数', '链接', '分享数', '2秒退出率', '设备IP', '数据来源', '涨粉数', '完播率', '内容类型', '弹幕数', '账号ID', '作品标题', '点赞数', '观看数', '评论数', '采集日期', '平均观看时长', '曝光数']
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:merge_table_data_unrelated:265 - 非关联融合完成，共处理 3 行数据，其中包括所有原始数据行（即使无关联）
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:142 - 使用非关联融合方式处理数据，融合后共有 3 行数据
2025-11-13 14:25:44.220 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:146 - 融合后前3行数据示例: [['19.3%', '0', 'http://xhslink.com/o/8sOLOcSMMhF', '0', '', '172.25.1.41', '1894230222988058625', '0', '', '图文', '', '1944609540455948358', '嘎子姐换脚教程来啦', '4', '314', '2', '20251112', '15.6', '1543'], ['19.9%', '4', 'http://xhslink.com/o/2szuAHmkUXy', '2', '', '172.25.1.41', '1894230222988058625', '0', '', '图文', '', '1944609540455948358', '嘎子姐的改装脚测评', '11', '723', '9', '20251112', '24.1', '3631'], ['10.4%', '1', 'http://xhslink.com/o/9lIlKBscMet', '0', '49%', '172.25.1.41', '1894230222988058625', '0', '16.3%', '视频', '0', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', '3', '59', '0', '20251112', '5.2', '279']]
2025-11-13 14:25:44.220 | DEBUG    | db.merge_sync:sync_to_local_sqlite:358 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:25:44.220 | DEBUG    | db.merge_sync:sync_to_local_sqlite:368 - 表 s_xhs_data_overview_ocr 是否存在: False
2025-11-13 14:25:44.220 | INFO     | db.merge_sync:sync_to_local_sqlite:372 - 表 s_xhs_data_overview_ocr 不存在，正在创建...
2025-11-13 14:25:44.220 | DEBUG    | db.merge_sync:create_table_if_not_exists_sqlite:531 - SQLite创建表SQL: 
    CREATE TABLE s_xhs_data_overview_ocr (
        "封面点击率" TEXT, "收藏数" TEXT, "链接" TEXT, "分享数" TEXT, "2秒退出率" TEXT, "设备IP" TEXT, "数据来源" TEXT, "涨粉数" TEXT, "完播率" TEXT, "内容类型" TEXT, "弹幕数" TEXT, "账号ID" TEXT, "作品标题" TEXT, "点赞数" TEXT, "观看数" TEXT, "评论数" TEXT, "采集日期" TEXT, "平均观看时长" TEXT, "曝光数" TEXT
        
    )
    
2025-11-13 14:25:44.229 | DEBUG    | db.merge_sync:sync_to_local_sqlite:413 - SQLite插入SQL:

                    INSERT INTO s_xhs_data_overview_ocr ("封面点击率", "收藏数", "链接", "分享数", "2秒退出率", "设备IP", "数据来源", "涨粉数", "完播率", "内容类型", "弹幕数", "账号ID", "作品标题", "点赞数", "观看数", "评论数", "采集日期", "平均观看时长", "曝光数")
                    VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                
2025-11-13 14:25:44.229 | DEBUG    | db.merge_sync:sync_to_local_sqlite:420 - 准备插入 3 行数据
2025-11-13 14:25:44.229 | DEBUG    | db.merge_sync:sync_to_local_sqlite:424 - SQL语句影响的行数: 3
2025-11-13 14:25:44.236 | INFO     | db.merge_sync:sync_to_local_sqlite:428 - 成功同步 3 条记录到本地SQLite数据库，表名: s_xhs_data_overview_ocr
2025-11-13 14:25:44.236 | DEBUG    | db.merge_sync:sync_to_local_sqlite:433 - 验证: 表 s_xhs_data_overview_ocr 中现有 3 行数据
2025-11-13 14:25:44.236 | DEBUG    | db.merge_sync:sync_to_local_sqlite:439 - 表 s_xhs_data_overview_ocr 数据示例: [('19.3%', '0', 'http://xhslink.com/o/8sOLOcSMMhF', '0', '', '172.25.1.41', '1894230222988058625', '0', '', '图文', '', '1944609540455948358', '嘎子姐换脚教程来啦', '4', '314', '2', '20251112', '15.6', '1543'), ('19.9%', '4', 'http://xhslink.com/o/2szuAHmkUXy', '2', '', '172.25.1.41', '1894230222988058625', '0', '', '图文', '', '1944609540455948358', '嘎子姐的改装脚测评', '11', '723', '9', '20251112', '24.1', '3631'), ('10.4%', '1', 'http://xhslink.com/o/9lIlKBscMet', '0', '49%', '172.25.1.41', '1894230222988058625', '0', '16.3%', '视频', '0', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', '3', '59', '0', '20251112', '5.2', '279')]
2025-11-13 14:25:44.236 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:170 - 融合数据已保存到本地SQLite数据库，表名: s_xhs_data_overview_ocr，融合类型: unrelated
2025-11-13 14:25:44.237 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_merged_data_ocr', 's_xhs_data_overview_traffic_analysis', 's_xhs_data_overview_ocr']
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_note_traffic_analysis_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '观看来源-首页推荐', '观看来源-搜索', '观看来源-关注页面', '观看来源-其他来源', '观看转化率', '观看互动率', '曝光数', '观看数', '占总曝光', '占总观看', '平均观看时长', '点赞数', '评论数', '收藏数']
2025-11-13 14:25:44.238 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_note_traffic_analysis_ocr 查询到 1 行数据
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:121 - 表 s_xhs_note_traffic_analysis_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '嘎子姐换脚教程来啦', 'http://xhslink.com/o/8sOLOcSMMhF', '20251112', '图文', '6.6%', '3.3%', '2%', '15.7%', '14.6%', '1.8%', '752', '110', '80.3%', '72.4%', '9.3', '2', '0', '0')]
2025-11-13 14:25:44.238 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_traffic_analysis_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:25:44.242 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:25:44.242 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '观看来源-搜索', '观看来源-首页推荐', '观看来源-视频推荐', '观看来源-关注页面', '观看来源-个人主页', '观看来源-其他来源', '观看转化率', '观看互动率', '曝光数', '观看数', '占总曝光', '占总观看', '平均观看时长', '点赞数', '评论数', '收藏数']
2025-11-13 14:25:44.242 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:117 - 表 s_xhs_video_traffic_analysis_ocr 查询到 1 行数据
