2025-11-13 14:51:24.019 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:51:24.020 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_data_overview_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_data_overview_traffic_analysis']
2025-11-13 14:51:24.020 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_top_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:105 - 列名: ['数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '曝光数', '观看数', '封面点击率', '平均观看时长', '完播率', '2秒退出率', '涨粉数']
2025-11-13 14:51:24.028 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:118 - 表 s_xhs_video_data_overview_top_ocr 查询到 1 行数据
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:122 - 表 s_xhs_video_data_overview_top_ocr 前3行数据示例: [('1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', 20251112, '视频', '279', '59', '10.4%', '5.2', '16.3%', '49%', '0')]
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_bottom_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:51:24.028 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:105 - 列名: ['数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '点赞数', '评论数', '收藏数', '分享数', '弹幕数']
2025-11-13 14:51:24.028 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:118 - 表 s_xhs_video_data_overview_bottom_ocr 查询到 1 行数据
2025-11-13 14:51:24.029 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:122 - 表 s_xhs_video_data_overview_bottom_ocr 前3行数据示例: [('1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', 20251112, '视频', '3', '0', '1', '0', '0')]
2025-11-13 14:51:24.029 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:135 - 开始进行 related 类型的数据融合，关联键: 账号ID, 设备IP, 采集日期, 链接
2025-11-13 14:51:24.029 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:136 - 融合后的表结构包含 19 列: ['采集日期', '2秒退出率', '账号ID', '评论数', '链接', '数据来源', '观看数', '平均观看时长', '作品标题', '封面点击率', '设备IP', '收藏数', '完播率', '涨粉数', '弹幕数', '内容类型', '点赞数', '曝光数', '分享数']
2025-11-13 14:51:24.029 | INFO     | db.merge_sync:merge_table_data_related:237 - 关联融合完成，共关联 1 个项目（具有来自多个表的数据）
2025-11-13 14:51:24.029 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:140 - 使用关联融合方式处理数据，融合后共有 1 行数据
2025-11-13 14:51:24.029 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:147 - 融合后前3行数据示例: [[20251112, '49%', '1944609540455948358', '0', 'http://xhslink.com/o/9lIlKBscMet', '1894230222988058625', '59', '5.2', '这个嘎子姐的星星卡点太美萌了', '10.4%', '172.25.1.41', '1', '16.3%', '0', '0', '视频', '3', '279', '0']]
2025-11-13 14:51:24.029 | DEBUG    | db.merge_sync:sync_to_local_sqlite:371 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:51:24.029 | DEBUG    | db.merge_sync:sync_to_local_sqlite:381 - 表 s_xhs_video_data_overview_ocr 是否存在: True
2025-11-13 14:51:24.029 | INFO     | db.merge_sync:sync_to_local_sqlite:389 - 表 s_xhs_video_data_overview_ocr 已存在，检查是否需要新增字段...
2025-11-13 14:51:24.030 | DEBUG    | db.merge_sync:sync_to_local_sqlite:414 - 使用唯一键约束字段: "账号ID", "设备IP", "采集日期", "链接"
2025-11-13 14:51:24.030 | DEBUG    | db.merge_sync:sync_to_local_sqlite:427 - SQLite插入SQL:

                        INSERT OR IGNORE INTO s_xhs_video_data_overview_ocr ("采集日期", "2秒退出率", "账号ID", "评论数", "链接", "数据来源", "观看数", "平均观看时长", "作品标题", "封面点击率", "设备IP", "收藏数", "完播率", "涨粉数", "弹幕数", "内容类型", "点赞数", "曝光数", "分享数")
                        VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                    
2025-11-13 14:51:24.030 | DEBUG    | db.merge_sync:sync_to_local_sqlite:439 - 准备插入 1 行数据
2025-11-13 14:51:24.030 | DEBUG    | db.merge_sync:sync_to_local_sqlite:443 - SQL语句影响的行数: 0
